candidate,code_thematique,statut_triangulation,statut_couverture,colonnes_cibles,justification,section_de_reference
F_TEMP.heure,03_TEMPS.Heure,Confirmée,Couverte directement,cal_heure_depart;cal_minute_depart;cal_depart_minute_du_jour;cal_heure_arrivee;cal_minute_arrivee;cal_arrivee_minute_du_jour,"Position horaire de la course, au depart et a l arrivee du troncon",4.4.3
F_TEMP.jour_semaine,03_TEMPS.JourSemaine,Confirmée,Couverte directement,cal_jour_semaine;cal_jour_semaine_iso;cal_is_weekend;cal_type_jour_3classes,Type de jour en trois classes comportementales,4.4.3
F_TEMP.mois,03_TEMPS.Saison,Confirmée,Couverte directement,cal_mois;cal_mois_horaire;cal_jour;cal_annee_civile,Saisonnalite par le mois civil et la position dans l annee horaire,4.4.3
F_TEMP.vacances,03_TEMPS.JourSemaine,Confirmée,Couverte directement,event_is_vacances_vaud;event_is_vacances_ou_ferie_vaud,Calendrier scolaire vaudois projete au grain journalier,4.4.2
F_TEMP.ferie,03_TEMPS.JourSemaine,Littérature,Couverte directement,event_is_ferie_vaud;cal_type_jour,"Feries vaudois, la typologie en neuf classes portant ponts, veilles et lendemains",4.4.3
F_TEMP.lag_J-1,—,Littérature,Couverte avec transformation,histo_voyageurs_1ere_classe_lag2;histo_voyageurs_2eme_classe_lag2;histo_voyageurs_total_lag2,"Decalage d un jour infaisable a J-1, remplace par la derniere occurrence consolidee sous seuil mensuel compose",4.4.2
F_TEMP.lag_S-1,—,Littérature,Couverte avec transformation,histo_voyageurs_1ere_classe_win7_max;histo_voyageurs_1ere_classe_win7_mean;histo_voyageurs_1ere_classe_win7_median;histo_voyageurs_1ere_classe_win7_std;histo_voyageurs_2eme_classe_win7_max;histo_voyageurs_2eme_classe_win7_mean;histo_voyageurs_2eme_classe_win7_median;histo_voyageurs_2eme_classe_win7_n_surcharges;histo_voyageurs_2eme_classe_win7_std;histo_voyageurs_total_win7_max;histo_voyageurs_total_win7_mean;histo_voyageurs_total_win7_median;histo_voyageurs_total_win7_std,"Decalage de sept jours infaisable a J-1, remplace par les fenetres de sept dernieres occurrences consolidees",4.4.2
F_TEMP.ponctualite,09_QUALITE.Ponctualite,Confirmée,Couverte directement,ist_profil_train_pct_en_retard_arr_troncon_20occ;ist_profil_train_pct_en_retard_arr_troncon_5occ;ist_profil_train_pct_en_retard_dep_troncon_20occ;ist_profil_train_pct_en_retard_dep_troncon_5occ;ist_profil_train_retard_arr_troncon_mean_20occ;ist_profil_train_retard_arr_troncon_mean_5occ;ist_profil_train_retard_arr_troncon_std_20occ;ist_profil_train_retard_arr_troncon_std_5occ;ist_profil_train_retard_dep_troncon_mean_20occ;ist_profil_train_retard_dep_troncon_mean_5occ;ist_profil_train_retard_dep_troncon_std_20occ;ist_profil_train_retard_dep_troncon_std_5occ,Retards au depart et a l arrivee du troncon en moyennes glissantes par type de jour,4.4.2
F_METEO.temperature,07_CONTEXTE.Meteo,Confirmée,Couverte directement,meteo_temperature_h;meteo_destination_temperature_h;meteo_temperature_max_j;meteo_destination_temperature_max_j,"Temperature horaire et maximum journalier, station du segment et station de destination",4.4.2
F_METEO.precipitation,07_CONTEXTE.Meteo,Confirmée,Couverte directement,meteo_destination_precip_total_j;meteo_destination_precip_total_j_moins_1;meteo_destination_precip_total_j_plus_1;meteo_destination_precipitation_mm_h;meteo_precip_total_j;meteo_precip_total_j_moins_1;meteo_precip_total_j_plus_1;meteo_precipitation_mm_h,Precipitations horaires et cumuls journaliers sur trois horizons,4.4.2
